成交日期,成交时间,证券代码,证券名称,买卖标志,成交数量,成交价格,成交金额,手续费,印花税,过户费,发生金额
20170424,09:32:02,300137,先河环保,证券买入,800,28.380,22704.000,5.680,0.000,0.450,-22709.68
20170424,10:01:35,300137,先河环保,证券买入,800,29.820,23856.000,5.960,0.000,0.000,-23861.96
20170425,09:25:00,300137,先河环保,证券卖出,-1600,28.200,45120.000,11.280,45.120,0.900,45063.60
20170425,10:05:13,300629,新劲刚,证券买入,400,55.000,22000.000,5.500,0.000,0.440,-22005.94
20170426,10:23:28,600874,创业环保,证券买入,1500,14.740,22110.000,5.530,0.000,0.000,-22115.97
20170426,09:25:03,300629,新劲刚,证券卖出,-400,56.500,22600.000,5.000,22.600,0.450,22571.95
20170427,09:25:00,600874,创业环保,证券卖出,-1500,16.210,24315.000,6.000,24.320,0.490,24284.11
20170427,09:51:53,000856,基蛋装备,证券买入,700,34.250,23975.000,5.990,0.000,0.480,-23980.99
20170428,09:35:35,000923,河北宣工,证券买入,600,38.700,23220.000,5.810,0.000,0.460,-23225.81
20170428,10:19:48,000856,基蛋装备,证券卖出,-700,35.200,24640.000,6.160,24.640,0.640,24609.20
20170502,09:41:14,000923,河北宣工,证券买入,600,40.200,24120.000,6.000,0.000,0.000,-24126.03
20170502,14:18:10,000923,河北宣工,证券卖出,-600,42.337,25402.000,6.350,4.500,0.000,25370.25
20170503,09:25:00,000923,河北宣工,证券卖出,-600,40.800,24480.000,6.120,24.480,0.490,24449.59
20170503,09:31:22,002858,力盛赛车,证券买入,300,77.700,23310.000,5.830,0.000,0.470,-23315.83
20170504,09:25:00,002858,力盛赛车,证券卖出,-300,79.000,23700.000,5.930,0.000,0.000,23670.37
20170505,09:31:12,002665,首航节能,证券买入,3000,8.650,25950.000,6.490,0.000,0.000,-25956.49
20170505,09:32:04,000856,基蛋装备,证券买入,700,36.630,25641.000,6.410,0.000,0.510,-25647.41
20170505,09:33:23,600581,八一钢铁,证券买入,2100,11.600,24360.000,6.090,0.000,0.490,-24366.58
20170508,09:25:00,002665,首航节能,证券卖出,-3000,7.860,23580.000,5.900,23.580,0.470,23550.52
20170508,09:51:16,000856,基蛋装备,证券卖出,-700,38.816,27171.000,6.790,27.170,0.550,27137.04
20170509,09:50:34,600581,八一钢铁,证券卖出,-2100,9.620,20202.000,5.050,20.200,0.400,20176.35
20170509,09:25:00,002350,北京科锐,证券买入,1400,19.310,27034.000,6.760,0.000,0.000,-27040.76
20170510,09:34:06,300344,太空板业,证券买入,1100,18.480,20328.000,5.080,0.000,0.410,-20333.08
20170511,11:26:56,300344,太空板业,证券卖出,-1100,17.390,19128.000,5.000,19.130,0.380,19103.87
20170512,10:37:27,300334,津膜科技,证券买入,600,28.140,16884.000,5.000,0.000,0.340,-16889.00
20170516,09:54:47,300334,津膜科技,证券卖出,-600,36.870,22122.000,5.530,22.120,0.440,22094.35
