成交日期,证券代码,证券名称,买卖标志,成交价格,成交数量,成交金额,手续费,印花税,过户费
2020-04-10,159995,芯片ETF,买入,0.941,11000,10351.0,5.0,0.0,0.0
2020-04-17,601816,京沪高铁,买入,6.26,100,626.0,5.0,0.0,0.01
2020-05-15,159995,芯片ETF,卖出,1.148,6000,6888.0,5.0,0.0,0.0
2020-05-25,159995,芯片ETF,买入,1.042,6700,6981.4,5.0,0.0,0.0
2020-05-29,159995,芯片ETF,买入,1.035,1900,1966.5,5.0,0.0,0.0
2020-06-23,601988,中国银行,买入,3.45,2900,10005.0,5.0,0.0,0.2
2020-06-29,128108,蓝帆转债,卖出,150.5,10,1505.0,0.3,0.0,0.0
2020-06-30,159995,芯片ETF,卖出,1.177,8000,9416.0,5.0,0.0,0.0
2020-07-01,159995,芯片ETF,卖出,1.205,42200,50851.0,12.71,0.0,0.0
2020-07-01,600036,招商银行,卖出,33.83,300,10149.0,5.0,10.15,0.2
2020-09-02,110073,国投转债,卖出,120.54,10,1205.4,1.0,0.0,0.0
2020-12-09,512760,芯片ETF,买入,1.196,1000,1196.0,5.0,0.0,0.0
2021-03-24,512760,芯片ETF,买入,1.041,14000,14574.0,5.0,0.0,0.0
2021-03-24,002286,保龄宝,买入,9.6,1600,15360.0,5.0,0.0,0.0
2021-03-24,128132,交建转债,卖出,91.4,10,914.0,0.18,0.0,0.0
2021-03-26,127018,本钢转债,卖出,82.047,10,820.47,0.16,0.0,0.0
2021-03-26,159995,芯片ETF,卖出,1.109,100,110.9,5.0,0.0,0.0
2021-03-26,002286,保龄宝,卖出,10.12,1600,16192.0,5.0,16.19,0.0
2021-03-26,512760,芯片ETF,卖出,1.066,15000,15990.0,5.0,0.0,0.0
2021-03-31,512760,芯片ETF,买入,1.064,40000,42560.0,10.64,0.0,0.0
2021-04-01,512760,芯片ETF,卖出,1.108,40000,44320.0,11.08,0.0,0.0
2021-04-01,605188,国光连锁,买入,10.13,1300,13169.0,5.0,0.0,0.26
2021-04-06,515710,食品ETF,买入,0.913,65800,60075.4,15.02,0.0,0.0
2021-04-07,601988,中国银行,卖出,3.3,2900,9570.0,5.0,9.57,0.19
2021-04-07,002286,保龄宝,买入,11.662,4100,47814.0,11.95,0.0,0.0
2021-04-09,601816,京沪高铁,卖出,5.92,100,592.0,5.0,0.59,0.01
2021-04-13,113046,金田转债,卖出,101.48,10,1014.8,1.0,0.0,0.0
2021-04-19,605188,国光连锁,卖出,10.85,300,3255.0,5.0,3.26,0.07
2021-04-21,127030,盛虹转债,卖出,122.53,10,1225.3,0.25,0.0,0.0
2021-04-21,605188,国光连锁,卖出,10.51,1000,10510.0,5.0,10.51,0.21
2021-04-23,110079,N杭银转,卖出,114.0,10,1140.0,1.0,0.0,0.0
2021-04-26,515710,食品ETF,卖出,0.939,65800,61786.2,15.45,0.0,0.0
2021-04-26,123111,东财转3,卖出,132.33,10,1323.3,0.26,0.0,0.0
2021-04-29,600030,中信证券,买入,23.73,600,14238.0,5.0,0.0,0.28
2021-04-30,600460,士兰微,买入,35.91,500,17955.0,5.0,0.0,0.36
2021-04-30,000725,京东方Ａ,买入,7.27,400,2908.0,5.0,0.0,0.0
2021-05-07,512760,芯片ETF,买入,1.104,5300,5851.2,5.0,0.0,0.0
2021-05-11,600460,士兰微,卖出,32.59,500,16295.0,5.0,16.3,0.33
2021-05-11,000725,京东方Ａ,卖出,6.53,400,2612.0,5.0,2.61,0.0
2021-05-12,127032,苏行转债,卖出,103.1,10,1031.0,0.21,0.0,0.0
2021-05-12,002286,保龄宝,卖出,11.799,4100,48374.0,12.09,48.37,0.0
2021-05-12,512760,芯片ETF,买入,1.098,44900,49300.2,12.33,0.0,0.0
2021-05-17,600030,中信证券,卖出,24.64,600,14784.0,5.0,14.78,0.3
2021-05-18,512760,芯片ETF,卖出,1.13,50200,56726.0,14.18,0.0,0.0
2021-05-18,002352,顺丰控股,买入,68.98,900,62082.0,15.52,0.0,0.0
2021-05-18,000725,京东方Ａ,买入,6.58,800,5264.0,5.0,0.0,0.0
2021-05-26,002352,顺丰控股,卖出,69.9,900,62910.0,15.73,62.91,0.0
2021-05-28,002286,保龄宝,买入,12.51,1500,18765.0,5.0,0.0,0.0
2021-05-31,600143,金发科技,买入,22.41,400,8964.0,5.0,0.0,0.18
2021-06-01,002570,贝因美,买入,6.56,6300,41328.0,10.33,0.0,0.0
2021-06-22,002946,新乳业,买入,15.6,600,9360.0,5.0,0.0,0.0
2021-07-09,000876,新 希 望,买入,13.51,1500,20265.0,5.07,0.0,0.0
2021-07-09,002570,贝因美,卖出,5.44,6200,33728.0,8.43,33.74,0.0
2021-07-13,002946,新乳业,买入,14.89,800,11912.0,5.0,0.0,0.0
2021-07-14,000725,京东方Ａ,卖出,6.58,800,5264.0,5.0,5.26,0.0
2021-07-14,600143,金发科技,卖出,21.09,200,4218.0,5.0,4.22,0.08
2021-07-15,002946,新乳业,买入,14.94,700,10458.0,5.0,0.0,0.0
2021-07-28,000876,新 希 望,卖出,10.9,1300,14170.0,5.0,14.17,0.0
2021-07-29,000876,新 希 望,买入,11.194,1200,13433.0,5.0,0.0,0.0
2021-08-03,515710,食品ETF,买入,0.844,29400,24813.6,6.2,0.0,0.0
